Transaction ID,Date,Project ID,Project Name,Department,Expense Category,Sub-Category,Vendor,Description,Amount,Payment Method,Status
58,2024-01-29,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee F,Bi-weekly salary,$2900.00,Bank Transfer,Approved
59,2024-01-30,PROJ-003,Gamma Integration,Sales,Software,CRM,SalesForce,Quarterly CRM fee,$450.00,Bank Transfer,Approved
60,2024-01-30,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,Lab Essentials,Chemical reagents,$320.00,Company Credit Card,Approved
61,2024-01-31,PROJ-001,Alpha Launch,Marketing,Marketing,Digital Ads,AdSense,Quarterly ad campaign review,$150.00,Company Credit Card,Approved
62,2024-01-31,PROJ-002,Beta Test,Engineering,Software,SaaS Subscription,TechFlow Solutions,Additional user license,$500.00,Bank Transfer,Approved
63,2024-02-01,PROJ-005,Epsilon Dev,Engineering,Travel,Flights,FlyHigh Airlines,Flight to vendor site,$380.00,Company Credit Card,Approved
64,2024-02-01,PROJ-003,Gamma Integration,Sales,Travel,Meals,Italian Restaurant,Dinner with client,$120.00,Company Credit Card,Approved
65,2024-02-02,PROJ-004,Delta R&D,Research,Payroll,Contractor,Data Analytics Corp.,Data modeling services,$2500.00,Bank Transfer,Approved
66,2024-02-02,PROJ-001,Alpha Launch,Marketing,Supplies,Office Supplies,OfficeMax Inc.,Toner cartridges,$110.00,Company Credit Card,Approved
67,2024-02-03,PROJ-002,Beta Test,Engineering,Software,Development Tools,CodeWare Inc.,New feature license,$150.00,Company Credit Card,Approved
68,2024-02-03,PROJ-005,Epsilon Dev,Engineering,Supplies,Hardware,MicroElectronics,New circuit boards,$850.00,Company Credit Card,Approved
69,2024-02-04,PROJ-003,Gamma Integration,Sales,Software,SaaS Subscription,Zoom,Annual subscription,$200.00,Bank Transfer,Approved
70,2024-02-04,PROJ-004,Delta R&D,Research,Travel,Accommodation,Hilton,Research trip hotel stay,$300.00,Company Credit Card,Approved
71,2024-02-05,PROJ-001,Alpha Launch,Marketing,Marketing,Events,Event Planners,Event staff catering,$450.00,Company Credit Card,Approved
72,2024-02-05,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee G,Bi-weekly salary,$3100.00,Bank Transfer,Approved
73,2024-02-06,PROJ-005,Epsilon Dev,Engineering,Software,Cloud Services,CloudBurst Inc.,Server upgrade,$500.00,Company Credit Card,Approved
74,2024-02-06,PROJ-003,Gamma Integration,Sales,Marketing,Digital Ads,LinkedIn Ads,Targeted ad campaign,$750.00,Bank Transfer,Approved
75,2024-02-07,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,Lab Essentials,Chemical supplies,$150.00,Company Credit Card,Approved
76,2024-02-07,PROJ-001,Alpha Launch,Marketing,Travel,Transportation,Rent-A-Car,Car rental,$120.00,Company Credit Card,Approved
77,2024-02-08,PROJ-002,Beta Test,Engineering,Travel,Meals,Diner,Team breakfast,$45.00,Petty Cash,Approved
78,2024-02-08,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee H,Bi-weekly salary,$3000.00,Bank Transfer,Approved
79,2024-02-09,PROJ-003,Gamma Integration,Sales,Software,CRM,SalesForce,Additional user license,$50.00,Bank Transfer,Approved
80,2024-02-09,PROJ-004,Delta R&D,Research,Payroll,Contractor,Lab Consultant,Additional consultation,$800.00,Bank Transfer,Approved
81,2024-02-10,PROJ-001,Alpha Launch,Marketing,Marketing,PR,Public Relations Group,Event press kit,$250.00,Company Credit Card,Approved
82,2024-02-10,PROJ-002,Beta Test,Engineering,Supplies,Hardware,Hardware Depot,Electrical components,$80.00,Company Credit Card,Approved
83,2024-02-11,PROJ-005,Epsilon Dev,Engineering,Travel,Accommodation,Motel 6,Budget hotel stay,$90.00,Company Credit Card,Approved
84,2024-02-11,PROJ-003,Gamma Integration,Sales,Travel,Flights,FlyHigh Airlines,Client visit flight,$420.00,Company Credit Card,Approved
85,2024-02-12,PROJ-004,Delta R&D,Research,Software,SaaS Subscription,BioTech Tools,Renew annual license,$850.00,Bank Transfer,Approved
86,2024-02-12,PROJ-001,Alpha Launch,Marketing,Software,Design Tools,Design Suite Pro,New user license,$150.00,Company Credit Card,Approved
87,2024-02-13,PROJ-002,Beta Test,Engineering,Software,SaaS Subscription,Jira,Quarterly license renewal,$300.00,Company Credit Card,Approved
88,2024-02-13,PROJ-005,Epsilon Dev,Engineering,Travel,Meals,Chinese Restaurant,Team lunch,$65.00,Company Credit Card,Approved
89,2024-02-14,PROJ-003,Gamma Integration,Sales,Supplies,Office Supplies,Staples,Whiteboard markers,$20.00,Petty Cash,Approved
90,2024-02-14,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,BioLab,Glassware and consumables,$120.00,Company Credit Card,Approved
91,2024-02-15,PROJ-001,Alpha Launch,Marketing,Marketing,Events,Event Planners,Venue deposit,$2500.00,Bank Transfer,Approved
92,2024-02-15,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee A,Bi-weekly salary,$2500.00,Bank Transfer,Approved
93,2024-02-16,PROJ-005,Epsilon Dev,Engineering,Software,Development Tools,CodeWare Inc.,Bug tracking software,$50.00,Company Credit Card,Approved
94,2024-02-16,PROJ-003,Gamma Integration,Sales,Travel,Accommodation,Grand Hotel,Hotel for client visit,$200.00,Company Credit Card,Approved
95,2024-02-17,PROJ-004,Delta R&D,Research,Travel,Transportation,Rent-A-Car,Car rental for research,$95.00,Company Credit Card,Approved
96,2024-02-17,PROJ-001,Alpha Launch,Marketing,Marketing,SEO,SEO Gurus,SEO audit,$400.00,Bank Transfer,Approved
97,2024-02-18,PROJ-002,Beta Test,Engineering,Travel,Meals,Pizzeria,Team dinner,$85.00,Company Credit Card,Approved
98,2024-02-18,PROJ-005,Epsilon Dev,Engineering,Software,Cloud Services,CloudBurst Inc.,Quarterly billing,$1800.00,Bank Transfer,Approved
99,2024-02-19,PROJ-003,Gamma Integration,Sales,Supplies,Office Supplies,Office Depot,Desk chair,$150.00,Company Credit Card,Approved
100,2024-02-19,PROJ-004,Delta R&D,Research,Payroll,Contractor,Data Analytics Corp.,Final data report,$1000.00,Bank Transfer,Approved
101,2024-02-20,PROJ-001,Alpha Launch,Marketing,Software,CRM,HubSpot,Monthly subscription,$250.00,Bank Transfer,Approved
102,2024-02-20,PROJ-002,Beta Test,Engineering,Supplies,Hardware,MicroElectronics,Prototype components,$600.00,Company Credit Card,Approved
103,2024-02-21,PROJ-005,Epsilon Dev,Engineering,Travel,Accommodation,Hilton,Hotel stay for conference,$320.00,Company Credit Card,Approved
104,2024-02-21,PROJ-003,Gamma Integration,Sales,Marketing,Digital Ads,AdSense,Ad spend on new campaign,$800.00,Bank Transfer,Approved
105,2024-02-22,PROJ-004,Delta R&D,Research,Travel,Flights,AeroJet Airlines,Flight for research trip,$550.00,Company Credit Card,Approved
106,2024-02-22,PROJ-001,Alpha Launch,Marketing,Marketing,Events,Event Planners,Event decorations,$200.00,Company Credit Card,Approved
107,2024-02-23,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee B,Bi-weekly salary,$2800.00,Bank Transfer,Approved
108,2024-02-23,PROJ-005,Epsilon Dev,Engineering,Software,SaaS Subscription,Slack,Team communication tool,$80.00,Company Credit Card,Approved
109,2024-02-24,PROJ-003,Gamma Integration,Sales,Software,Sales Tools,Sales Navigator,Annual renewal,$800.00,Bank Transfer,Approved
110,2024-02-24,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,Lab Essentials,Consumables replenishment,$75.00,Company Credit Card,Approved
111,2024-02-25,PROJ-001,Alpha Launch,Marketing,Travel,Accommodation,Inn & Suites,Conference hotel,$180.00,Company Credit Card,Approved
112,2024-02-25,PROJ-002,Beta Test,Engineering,Supplies,Office Supplies,Staples,Notebooks,$30.00,Petty Cash,Approved
113,2024-02-26,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee C,Bi-weekly salary,$3200.00,Bank Transfer,Approved
114,2024-02-26,PROJ-003,Gamma Integration,Sales,Travel,Meals,Steakhouse,Client dinner,$210.00,Company Credit Card,Approved
115,2024-02-27,PROJ-004,Delta R&D,Research,Software,Data Analytics,DataGenius,Annual license renewal,$1500.00,Bank Transfer,Approved
116,2024-02-27,PROJ-001,Alpha Launch,Marketing,Marketing,Social Media Ads,SocialAds Co.,Ad budget,$450.00,Company Credit Card,Approved
117,2024-02-28,PROJ-002,Beta Test,Engineering,Travel,Flights,AeroJet Airlines,Flight to vendor,$480.00,Company Credit Card,Approved
118,2024-02-28,PROJ-005,Epsilon Dev,Engineering,Software,Development Tools,CodeWare Inc.,Plugin license,$25.00,Company Credit Card,Approved
119,2024-02-29,PROJ-003,Gamma Integration,Sales,Payroll,Commissions,Sales Agent B,Quarterly commission,$1500.00,Bank Transfer,Approved
120,2024-02-29,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,Lab Essentials,Chemical order,$90.00,Company Credit Card,Approved
121,2024-03-01,PROJ-001,Alpha Launch,Marketing,Travel,Flights,FlyHigh Airlines,Flight for conference,$600.00,Company Credit Card,Approved
122,2024-03-01,PROJ-002,Beta Test,Engineering,Software,Cloud Services,CloudBurst Inc.,Quarterly cloud costs,$1800.00,Bank Transfer,Approved
123,2024-03-02,PROJ-005,Epsilon Dev,Engineering,Travel,Accommodation,Motel 6,Hackathon hotel,$95.00,Company Credit Card,Approved
124,2024-03-02,PROJ-003,Gamma Integration,Sales,Software,CRM,SalesForce,Additional storage,$50.00,Bank Transfer,Approved
125,2024-03-03,PROJ-004,Delta R&D,Research,Travel,Transportation,Rent-A-Car,Car rental for research,$105.00,Company Credit Card,Approved
126,2024-03-03,PROJ-001,Alpha Launch,Marketing,Marketing,Digital Ads,AdSense,Monthly ad budget,$500.00,Bank Transfer,Approved
127,2024-03-04,PROJ-002,Beta Test,Engineering,Travel,Meals,Italian Restaurant,Team lunch,$80.00,Company Credit Card,Approved
128,2024-03-04,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee D,Bi-weekly salary,$3500.00,Bank Transfer,Approved
129,2024-03-05,PROJ-003,Gamma Integration,Sales,Marketing,Client Gifts,GiftBasket Co.,New client gift,$85.00,Company Credit Card,Approved
130,2024-03-05,PROJ-004,Delta R&D,Research,Software,SaaS Subscription,BioTech Tools,Lab software upgrade,$250.00,Bank Transfer,Approved
131,2024-03-06,PROJ-001,Alpha Launch,Marketing,Supplies,Promotional Items,PromoPlus,Conference swag,$300.00,Company Credit Card,Approved
132,2024-03-06,PROJ-002,Beta Test,Engineering,Software,SaaS Subscription,Jira,New team license,$100.00,Company Credit Card,Approved
133,2024-03-07,PROJ-005,Epsilon Dev,Engineering,Travel,Meals,Subway,Lunch on the go,$15.00,Petty Cash,Approved
134,2024-03-07,PROJ-003,Gamma Integration,Sales,Travel,Flights,AeroJet Airlines,Flight for client meeting,$380.00,Company Credit Card,Approved
135,2024-03-08,PROJ-004,Delta R&D,Research,Payroll,Contractor,Lab Consultant,Final consultation,$500.00,Bank Transfer,Approved
136,2024-03-08,PROJ-001,Alpha Launch,Marketing,Marketing,Digital Ads,AdSense,Ad spend,$400.00,Company Credit Card,Approved
137,2024-03-09,PROJ-002,Beta Test,Engineering,Travel,Accommodation,Hilton,Hotel stay for a week,$1400.00,Company Credit Card,Approved
138,2024-03-09,PROJ-005,Epsilon Dev,Engineering,Software,Development Tools,CodeWare Inc.,Additional license,$200.00,Bank Transfer,Approved
139,2024-03-10,PROJ-003,Gamma Integration,Sales,Software,CRM,SalesForce,Additional user,$50.00,Company Credit Card,Approved
140,2024-03-10,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,Lab Essentials,Chemicals,$150.00,Company Credit Card,Approved
141,2024-03-11,PROJ-001,Alpha Launch,Marketing,Marketing,Events,Event Planners,Event catering,$750.00,Bank Transfer,Approved
142,2024-03-11,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee E,Bi-weekly salary,$2600.00,Bank Transfer,Approved
143,2024-03-12,PROJ-005,Epsilon Dev,Engineering,Supplies,Electronics,Gadget Store,HDMI cables,$25.00,Petty Cash,Approved
144,2024-03-12,PROJ-003,Gamma Integration,Sales,Software,Sales Tools,Sales Navigator,Monthly fee,$150.00,Bank Transfer,Approved
145,2024-03-13,PROJ-004,Delta R&D,Research,Travel,Flights,FlyHigh Airlines,Flight for research,$520.00,Company Credit Card,Approved
146,2024-03-13,PROJ-001,Alpha Launch,Marketing,Supplies,Printed Materials,PrintShop,Business cards,$80.00,Company Credit Card,Approved
147,2024-03-14,PROJ-002,Beta Test,Engineering,Travel,Accommodation,Inn & Suites,Vendor meeting hotel,$200.00,Company Credit Card,Approved
148,2024-03-14,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee F,Bi-weekly salary,$2900.00,Bank Transfer,Approved
149,2024-03-15,PROJ-003,Gamma Integration,Sales,Software,SaaS Subscription,Zoom,Quarterly renewal,$50.00,Company Credit Card,Approved
150,2024-03-15,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,BioLab,Lab supplies,$150.00,Company Credit Card,Approved
151,2024-03-16,PROJ-001,Alpha Launch,Marketing,Marketing,Social Media Ads,SocialAds Co.,Monthly ad budget,$300.00,Company Credit Card,Approved
152,2024-03-16,PROJ-002,Beta Test,Engineering,Software,Design Tools,SketchUp,Annual license renewal,$450.00,Company Credit Card,Approved
153,2024-03-17,PROJ-005,Epsilon Dev,Engineering,Travel,Meals,Pizza Place,Team dinner,$75.00,Company Credit Card,Approved
154,2024-03-17,PROJ-003,Gamma Integration,Sales,Travel,Accommodation,Hilton,Hotel for client visit,$250.00,Company Credit Card,Approved
155,2024-03-18,PROJ-004,Delta R&D,Research,Payroll,Salaries,Employee G,Bi-weekly salary,$3100.00,Bank Transfer,Approved
156,2024-03-18,PROJ-001,Alpha Launch,Marketing,Software,CRM,HubSpot,Annual renewal,$2500.00,Bank Transfer,Approved
157,2024-03-19,PROJ-002,Beta Test,Engineering,Supplies,Hardware,Hardware Depot,Electrical wires,$45.00,Petty Cash,Approved
158,2024-03-19,PROJ-005,Epsilon Dev,Engineering,Software,Cloud Services,CloudBurst Inc.,Server maintenance,$120.00,Company Credit Card,Approved
159,2024-03-20,PROJ-003,Gamma Integration,Sales,Supplies,Office Supplies,OfficeMax Inc.,New desk lamp,$40.00,Company Credit Card,Approved
160,2024-03-20,PROJ-004,Delta R&D,Research,Travel,Transportation,Rent-A-Car,Car rental for research,$110.00,Company Credit Card,Approved
161,2024-03-21,PROJ-001,Alpha Launch,Marketing,Marketing,PR,Public Relations Group,Media outreach,$800.00,Bank Transfer,Approved
162,2024-03-21,PROJ-002,Beta Test,Engineering,Travel,Flights,AeroJet Airlines,Flight to vendor,$410.00,Company Credit Card,Approved
163,2024-03-22,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee H,Bi-weekly salary,$3000.00,Bank Transfer,Approved
164,2024-03-22,PROJ-003,Gamma Integration,Sales,Travel,Meals,Subway,Client lunch,$25.00,Petty Cash,Approved
165,2024-03-23,PROJ-004,Delta R&D,Research,Software,Data Analytics,DataGenius,Annual license renewal,$1500.00,Bank Transfer,Approved
166,2024-03-23,PROJ-001,Alpha Launch,Marketing,Supplies,Promotional Items,PromoPlus,Swag bags,$250.00,Company Credit Card,Approved
167,2024-03-24,PROJ-002,Beta Test,Engineering,Software,Development Tools,CodeWare Inc.,New feature license,$150.00,Company Credit Card,Approved
168,2024-03-24,PROJ-005,Epsilon Dev,Engineering,Supplies,Hardware,Electro Parts,Wiring and connectors,$45.00,Petty Cash,Approved
169,2024-03-25,PROJ-003,Gamma Integration,Sales,Payroll,Commissions,Sales Agent C,Quarterly commission,$1800.00,Bank Transfer,Approved
170,2024-03-25,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,BioLab,Microscopes,$4500.00,Bank Transfer,Approved
171,2024-03-26,PROJ-001,Alpha Launch,Marketing,Travel,Accommodation,Hilton,Hotel stay for conference,$1400.00,Company Credit Card,Approved
172,2024-03-26,PROJ-002,Beta Test,Engineering,Software,SaaS Subscription,Jira,New user license,$25.00,Company Credit Card,Approved
173,2024-03-27,PROJ-005,Epsilon Dev,Engineering,Travel,Meals,Steakhouse,Team dinner,$150.00,Company Credit Card,Approved
174,2024-03-27,PROJ-003,Gamma Integration,Sales,Software,Sales Tools,Sales Navigator,Monthly fee,$150.00,Bank Transfer,Approved
175,2024-03-28,PROJ-004,Delta R&D,Research,Travel,Accommodation,Grand Hotel,Hotel for conference,$250.00,Company Credit Card,Approved
176,2024-03-28,PROJ-001,Alpha Launch,Marketing,Marketing,SEO,SEO Gurus,Monthly SEO services,$500.00,Bank Transfer,Approved
177,2024-03-29,PROJ-002,Beta Test,Engineering,Travel,Accommodation,Motel 6,Hotel for vendor meeting,$90.00,Company Credit Card,Approved
178,2024-03-29,PROJ-005,Epsilon Dev,Engineering,Software,Cloud Services,CloudBurst Inc.,Quarterly billing,$1800.00,Bank Transfer,Approved
179,2024-03-30,PROJ-003,Gamma Integration,Sales,Supplies,Office Supplies,Office Depot,Desk monitor,$180.00,Company Credit Card,Approved
180,2024-03-30,PROJ-004,Delta R&D,Research,Travel,Transportation,Rent-A-Car,Car rental for research trip,$120.00,Company Credit Card,Approved
181,2024-03-31,PROJ-001,Alpha Launch,Marketing,Marketing,Social Media Ads,SocialAds Co.,Ad budget,$300.00,Company Credit Card,Approved
182,2024-03-31,PROJ-002,Beta Test,Engineering,Payroll,Salaries,Employee A,Bi-weekly salary,$2500.00,Bank Transfer,Approved
183,2024-04-01,PROJ-005,Epsilon Dev,Engineering,Supplies,Electronics,Gadget Store,Wireless headphones,$80.00,Company Credit Card,Approved
184,2024-04-01,PROJ-003,Gamma Integration,Sales,Software,CRM,SalesForce,Monthly subscription,$150.00,Bank Transfer,Approved
185,2024-04-02,PROJ-004,Delta R&D,Research,Payroll,Contractor,Data Analytics Corp.,Data analysis services,$2500.00,Bank Transfer,Approved
186,2024-04-02,PROJ-001,Alpha Launch,Marketing,Travel,Accommodation,Hilton,Hotel stay for a week,$1400.00,Company Credit Card,Approved
187,2024-04-03,PROJ-002,Beta Test,Engineering,Software,SaaS Subscription,TechFlow Solutions,Monthly software license,$1500.00,Bank Transfer,Approved
188,2024-04-03,PROJ-005,Epsilon Dev,Engineering,Travel,Flights,FlyHigh Airlines,Flight to vendor site,$380.00,Company Credit Card,Approved
189,2024-04-04,PROJ-003,Gamma Integration,Sales,Travel,Meals,Italian Restaurant,Dinner with client,$120.00,Company Credit Card,Approved
190,2024-04-04,PROJ-004,Delta R&D,Research,Supplies,Lab Equipment,Lab Essentials,Chemicals,$150.00,Company Credit Card,Approved
191,2024-04-05,PROJ-001,Alpha Launch,Marketing,Marketing,Digital Ads,AdSense,Quarterly ad campaign review,$150.00,Company Credit Card,Approved
192,2024-04-05,PROJ-002,Beta Test,Engineering,Supplies,Hardware,MicroElectronics,Circuit boards for prototype,$780.20,Company Credit Card,Approved
193,2024-04-06,PROJ-005,Epsilon Dev,Engineering,Payroll,Salaries,Employee B,Bi-weekly salary,$2800.00,Bank Transfer,Approved
194,2024-04-06,PROJ-003,Gamma Integration,Sales,Marketing,Digital Ads,LinkedIn Ads,Targeted ad campaign,$750.00,Bank Transfer,Approved
195,2024-04-07,PROJ-004,Delta R&D,Research,Travel,Accommodation,Grand Hotel,Research trip hotel stay,$300.00,Company Credit Card,Approved
196,2024-04-07,PROJ-001,Alpha Launch,Marketing,Supplies,Promotional Items,PromoPlus,Branded pens and notebooks,$215.00,Company Credit Card,Approved
